ts	phase	decision	why	evidence	result
2026-07-26T06:28:14Z	frame	adopt the released generic Genes linked-carrier protocol before changing downstream receipts	the weak array boundary is already solved upstream, so a new compiler patch would duplicate reviewed work	manifests/evidence/g2.1-legacy-jsx-marker-temporaries.json	G2.5 claimed; adapter compatibility remains to prove
2026-07-26T06:34:27Z	adapter	found a generic JSX property-alias gap in Genes	external component schemas need Haxe-safe field names while emitted JSX keeps target names such as aria-controls	[GTS-HXX-PROP-001] from the WordPressHx SDK-032 current-Genes probe	isolated upstream reduction required before downstream pin adoption
2026-07-26T06:51:11Z	upstream	reused @:native as the single typed external-property naming contract	Genes already uses @:native for ordinary object emission, so HXX validation, contextual callbacks, declarations, and member access must agree on that canonical spelling	genes-qhyt focused React/HXX matrix across three TypeScript engines and classic JavaScript	focused matrix passed; full upstream CI remains
2026-07-26T07:25:54Z	downstream	kept WordPressHx ReactKey independent while moving special-key ordering into Genes	React key is not an ordinary delivered component prop, so a downstream nominal facade must not override the canonical scalar check	Genes PR #42 final focused matrix, snapshots, and WordPressHx SDK-032 source override probe	all three passed; SDK-owned generated module has no weak marker carrier
2026-07-26T07:45:22Z	upstream	merged the generalized native-field and React-key fixes only after every hosted PR check passed	the compiler boundary change must be reusable and regression-safe before WordPressHx can adopt it	Genes PR #42; CI run 30192695276; CodeQL run 30192695307	squash merge d0e9d392811d18eef42e3bfc3c0ce1ec2a6abbf7 landed on Genes main
2026-07-26T07:51:31Z	downstream	replayed SDK-032 against the exact upstream merge commit before release pinning	this distinguishes adapter/compiler compatibility from later packaging and receipt work	Haxe 4.3.7 strict TSX compile with the sibling Genes source tree at d0e9d392811d18eef42e3bfc3c0ce1ec2a6abbf7	passed; native aria names emitted and SDK-owned Main.tsx contains no any or unknown annotation
2026-07-26T07:53:26Z	verification	added a WordPressHx-owned same-source ordering probe	upstream ordering coverage alone does not prove the SDK lowerer feeds the released protocol correctly	DifferentialApi.OrderedEvaluation compiled through strict TSX and classic JS against Genes merge d0e9d392811d18eef42e3bfc3c0ce1ec2a6abbf7	both lanes preserve prop-first, prop-second, child-first, child-second source order; full runtime gate remains after release pinning
2026-07-26T07:56:29Z	security	reverified the installed repository hooks and strict Haxe scan before pin adoption	the final compiler and receipt commit must remain protected by formatting, local-path, secret, and weak-type gates	bash scripts/hooks/test.sh; haxe-weak-type-guard.py over Gutenberg source and both affected fixtures	hooks passed with Formatter 1.18.0 and Gitleaks 8.30.0; 63 Haxe files passed the weak-type guard
2026-07-26T08:08:47Z	upstream	confirmed the merged compiler change remains repository-agnostic	the user authorized an upstream PR only for a generalized Genes improvement	git diff of merge d0e9d392811d18eef42e3bfc3c0ce1ec2a6abbf7 across src, tests, and test-genes-tsx; merge tree 9ab74f5d25af85701dfec5917fdf3ea3a25d5184	no WordPress, Gutenberg, or WordPressHx symbols found
2026-07-26T08:31:16Z	upstream	adopted the published Genes 1.38.0 artifact rather than the merge checkout	the downstream lock must identify an immutable release artifact with a reproducible compiler tree	GitHub release v1.38.0 at 122162abefc2035b307508e521348ea4fb36dab7; tree 739500b4f4f2513adc3d993cdab6e0e7620965a3; submit.zip sha256 d5abd09c3f0d1479095efe91518df3e902a2f6d04ff91a1f99b09c9d076282ab	release workflow 30194046201 passed and downloaded artifact digest matched the GitHub API
2026-07-26T09:02:00Z	compatibility	kept ergonomic HTML button literals typed after the compiler upgrade	Genes 1.38 correctly rejects broad String where TypeScript requires the button literal union, so the SDK should expose that contract at Haxe compile time	HtmlButtonType enum abstract plus invalid_button_type negative fixture	valid literals lower to the exact union and invalid literals fail with source-positioned WPHX3229
2026-07-26T09:18:00Z	source-maps	admitted only the new exact haxe classpath URI spelling	Genes 1.38 emits haxe://classpath references, which are valid only when they resolve uniquely inside the pinned Genes or Haxe 4.3.7 standard-library roots	SDK-033 and SDK-034 package classifiers with unsafe, ambiguous, missing, and foreign-root rejection	classification remains fail-closed; normalized compiler map inventory updated from six to five sources and production composition from five to one
2026-07-26T09:34:00Z	ergonomics	accepted custom HXX component returns only when they are BrowserNode or canonical ReactNode	String is already a valid ReactNode, so a useful negative must reject a genuinely foreign type instead of narrowing React semantics	invalid_component_return returns Date and expects source-positioned WPHX3209	editor and data-store HXX remain concise while arbitrary component return types fail at compile time
2026-07-26T09:39:00Z	exact-optionals	marked BlockElementProps.className as an emitted optional field	Genes 1.38 correctly distinguishes an omitted prop from a required property whose Haxe value may be null	SDK-061 strict TypeScript and exact native Gutenberg serialization/static-block runtime gate	static block spreads pass without weakening the prop contract or using an untyped escape
2026-07-26T09:48:00Z	runtime	replayed all compiler-dependent real WordPress lanes before consolidating receipts	adapter compatibility must include native WordPress behavior rather than only TypeScript acceptance	SDK-033 assets, SDK-060 block metadata, SDK-061 static block, SDK-063 editor SlotFill, and SDK-064 data store against WordPress 7.0	all passed with zero serious/critical accessibility violations and zero editor/data-store console errors
2026-07-26T09:54:00Z	evidence	preserved G2.1 as historical weak-carrier inventory and introduced G2.5 as the current adoption authority	rewriting the old receipt would erase why the migration existed; continuing to validate its hashes against current files would make historical evidence unusable	G2.1/G2.5 repository gate plus G2.5 release, PR, CI, artifact, weak-type, ordering, source-map, and replay inventories	aggregate gate now proves the three-local historical inventory is replaced by zero weak generated types
2026-07-26T10:03:53Z	toolchain	regenerated semantic-plan and ownership identities after the compiler lock changed	semantic plans and ownership journals bind the aggregate toolchain digest, so retaining the previous bytes would falsely claim the old compiler identity	semantic plan digest 77292124c75633926f84475b14a02d84cb33f00145c60d3cef6e8f591cca1e74; ownership manifests 56da0ba7ccc255d24a56c386fe89d8fb8caf80265f2e2a0314cdfe01897a369d and b62bbe639c107180f8b54da591cc719ac9f4c2922c59954754896416e84021c2	canonical semantic-plan, ownership, project-CLI, G0, schema, output-context, adoption, and repository aggregate gates passed
2026-07-26T10:08:30Z	final-gates	replayed the complete compiler-dependent closure before delivery	the linked-carrier migration changes lowering, emitted TypeScript, source maps, runtime assets, and toolchain identity, so each boundary needs independent evidence	repository bootstrap; deterministic production; ownership SDK-041; project CLI SDK-043; Gutenberg SDK-031/032/033/035/060/061/063/064; formatter; strict-type guard; Gitleaks; git diff check	all required local gates passed; project production reported 15 positive and 15 negative cases with 17 no-write assertions
